"","Xc1.A","Xc1.R","Xc1.N","Xc1.D","Xc1.C","Xc1.E","Xc1.Q","Xc1.G","Xc1.H","Xc1.I","Xc1.L","Xc1.K","Xc1.M","Xc1.F","Xc1.P","Xc1.S","Xc1.T","Xc1.W","Xc1.Y","Xc1.V","Xc2.lambda.1"
"6OAUC",0.931753578880399,6.52227505216279,2.7952607366412,11.1810429465648,9.31753578880399,15.8398108409668,9.31753578880399,7.45402863104319,3.7270143155216,1.8635071577608,8.38578220992359,1.8635071577608,0.931753578880399,0,6.52227505216279,9.31753578880399,16.7715644198472,1.8635071577608,1.8635071577608,5.5905214732824,0.0682464211196007
"5LSID",6.40054739330398,10.0580030466205,1.82872782665828,5.48618347997484,1.82872782665828,10.0580030466205,9.1436391332914,5.48618347997484,4.5718195666457,3.65745565331656,15.5441865265954,9.1436391332914,1.82872782665828,6.40054739330398,2.74309173998742,21.0303700065702,4.5718195666457,0.91436391332914,0.91436391332914,0.91436391332914,0.0856360866708602
"1XIPA",16.6364340891745,8.31821704458726,16.6364340891745,23.1061584571868,2.77273901486242,28.6516364869117,16.6364340891745,14.7879414125996,3.6969853531499,21.2576657806119,38.8183462080739,18.4849267657495,2.77273901486242,22.1819121188994,17.560680427462,42.5153315612238,21.2576657806119,2.77273901486242,6.46972436801232,33.2728681783491,0.0757536617125262
"6DK9A",16.4897681076195,11.9092769666141,10.0770805102119,12.8253751948152,2.74829468460325,10.993178738413,7.32878582560866,12.8253751948152,5.4965893692065,12.8253751948152,18.3219645640217,7.32878582560866,2.74829468460325,9.16098228201083,11.9092769666141,12.8253751948152,19.2380627922227,2.74829468460325,8.24488405380974,18.3219645640217,0.0839017717989173
"3S8IA",6.43389952467553,8.27215653172568,3.6765140141003,6.43389952467553,4.59564251762538,4.59564251762538,9.19128503525076,13.7869275528761,8.27215653172568,9.19128503525076,13.7869275528761,4.59564251762538,7.35302802820061,3.6765140141003,4.59564251762538,9.19128503525076,6.43389952467553,0.919128503525076,1.83825700705015,9.19128503525076,0.0808714964749239
"7MY4A",6.33853146484758,5.43302696986935,3.6220179799129,2.71651348493468,0,8.14954045480403,0.905504494978226,5.43302696986935,1.81100898995645,1.81100898995645,8.14954045480403,1.81100898995645,0.905504494978226,4.52752247489113,4.52752247489113,1.81100898995645,3.6220179799129,0.905504494978226,1.81100898995645,2.71651348493468,0.0944955050217743
"5YF4A",8.2688024359089,7.3500466096968,6.4312907834847,6.4312907834847,7.3500466096968,11.9438257407573,5.5125349572726,4.5937791310605,7.3500466096968,9.187558262121,12.8625815669694,10.1063140883331,3.6750233048484,8.2688024359089,6.4312907834847,9.187558262121,9.187558262121,1.8375116524242,6.4312907834847,6.4312907834847,0.0812441737879005
"3WVZA",14.7966540086156,3.6991635021539,9.24790875538474,6.47353612876932,0.924790875538474,6.47353612876932,12.9470722575386,14.7966540086156,1.84958175107695,7.3983270043078,12.9470722575386,6.47353612876932,8.32311787984627,15.7214448841541,12.0222813820002,18.4958175107695,8.32311787984627,2.77437262661542,4.62395437769237,17.571026635231,0.0752091244615257
"4BJ1A",9.2018583523627,6.44130084665389,20.2440883751979,11.9624158580715,3.68074334094508,19.3239025399617,11.0422300228352,8.28167251712643,6.44130084665389,23.0046458809068,30.3661325627969,27.6055750570881,10.122044187599,19.3239025399617,6.44130084665389,34.046875903742,14.7229733637803,0,13.802787528544,17.4835308694891,0.0798141647637301
"5XQHA",20.2847491780712,11.986442696133,11.0644086425843,11.0644086425843,3.68813621419477,12.9084767496817,19.3627151245225,12.9084767496817,7.37627242838954,7.37627242838954,37.8033961954964,12.9084767496817,4.61017026774346,9.22034053548693,10.1423745890356,14.7525448567791,13.8305108032304,3.68813621419477,4.61017026774346,17.5186470174252,0.0779659464513073
