"","prop1.Tr1221","prop1.Tr1331","prop1.Tr2332","prop2.Tr1221","prop2.Tr1331","prop2.Tr2332","prop3.Tr1221","prop3.Tr1331","prop3.Tr2332","prop4.Tr1221","prop4.Tr1331","prop4.Tr2332","prop5.Tr1221","prop5.Tr1331","prop5.Tr2332","prop6.Tr1221","prop6.Tr1331","prop6.Tr2332","prop7.Tr1221","prop7.Tr1331","prop7.Tr2332"
"5YF4A",0.236024844720497,0.211180124223602,0.204968944099379,0.260869565217391,0.180124223602484,0.217391304347826,0.173913043478261,0.291925465838509,0.180124223602484,0.242236024844721,0.136645962732919,0.260869565217391,0.198757763975155,0.0248447204968944,0.198757763975155,0.322981366459627,0.198757763975155,0.118012422360248,0.229813664596273,0.186335403726708,0.217391304347826
"3WVZA",0.22,0.17,0.3,0.33,0.17,0.17,0.285,0.195,0.195,0.345,0.135,0.205,0.095,0.005,0.125,0.2,0.205,0.215,0.235,0.25,0.155
"4BJ1A",0.182389937106918,0.261006289308176,0.210691823899371,0.257861635220126,0.179245283018868,0.238993710691824,0.207547169811321,0.30188679245283,0.154088050314465,0.251572327044025,0.154088050314465,0.264150943396226,0.169811320754717,0.0283018867924528,0.172955974842767,0.235849056603774,0.238993710691824,0.166666666666667,0.267295597484277,0.213836477987421,0.176100628930818
"5XQHA",0.157303370786517,0.247191011235955,0.239700374531835,0.258426966292135,0.123595505617978,0.213483146067416,0.183520599250936,0.288389513108614,0.153558052434457,0.258426966292135,0.108614232209738,0.228464419475655,0.176029962546816,0.0262172284644195,0.138576779026217,0.284644194756554,0.247191011235955,0.0973782771535581,0.307116104868914,0.269662921348315,0.0973782771535581
"2Z5BB",0.247191011235955,0.230337078651685,0.191011235955056,0.258426966292135,0.191011235955056,0.191011235955056,0.168539325842697,0.286516853932584,0.213483146067416,0.196629213483146,0.174157303370787,0.207865168539326,0.146067415730337,0.0280898876404494,0.207865168539326,0.247191011235955,0.258426966292135,0.134831460674157,0.303370786516854,0.191011235955056,0.174157303370787
"4P0TA",0.165714285714286,0.211428571428571,0.28,0.28,0.165714285714286,0.177142857142857,0.24,0.262857142857143,0.171428571428571,0.28,0.131428571428571,0.211428571428571,0.177142857142857,0.0171428571428571,0.12,0.211428571428571,0.314285714285714,0.12,0.262857142857143,0.268571428571429,0.114285714285714
"4K1CA",0.152380952380952,0.126190476190476,0.330952380952381,0.335714285714286,0.161904761904762,0.145238095238095,0.304761904761905,0.142857142857143,0.164285714285714,0.328571428571429,0.135714285714286,0.171428571428571,0.0761904761904762,0.0119047619047619,0.102380952380952,0.278571428571429,0.233333333333333,0.145238095238095,0.188095238095238,0.247619047619048,0.0904761904761905
"3VBCA",0.22360248447205,0.167701863354037,0.248447204968944,0.260869565217391,0.173913043478261,0.192546583850932,0.192546583850932,0.236024844720497,0.204968944099379,0.242236024844721,0.130434782608696,0.236024844720497,0.111801242236025,0.0186335403726708,0.180124223602484,0.298136645962733,0.22360248447205,0.124223602484472,0.236024844720497,0.229813664596273,0.15527950310559
"5UTKA",0.277227722772277,0.217821782178218,0.221122112211221,0.323432343234323,0.161716171617162,0.161716171617162,0.204620462046205,0.267326732673267,0.247524752475248,0.273927392739274,0.125412541254125,0.198019801980198,0.151815181518152,0.0066006600660066,0.184818481848185,0.260726072607261,0.297029702970297,0.155115511551155,0.3003300330033,0.260726072607261,0.194719471947195
"3L46A",0.198198198198198,0.189189189189189,0.252252252252252,0.216216216216216,0.18018018018018,0.243243243243243,0.162162162162162,0.225225225225225,0.198198198198198,0.189189189189189,0.153153153153153,0.27027027027027,0.117117117117117,0.045045045045045,0.198198198198198,0.234234234234234,0.252252252252252,0.126126126126126,0.225225225225225,0.189189189189189,0.162162162162162
